orp_nazev,Index_vzdelavacich_problemu,Index_destabilizujici_chudoby,Index_soc_znevyhodneni,Index_zaostavani,Index_financovani,celkem,podil,podil_0_18,datum,day_no
Praha,nízké,střední,velmi nízké,Vzdělávací problémy na míře očekávání,NA,61230,0.04586228282265385,0.4001796504981218,2022-04-01,0
Benešov,velmi nízké,nízké,velmi nízké,Méně vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,1544,0.02517322898834271,0.46049222797927464,2022-04-01,0
Beroun,nízké,vysoké,velmi nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,1360,0.020578933829648795,0.43308823529411766,2022-04-01,0
Brandýs nad Labem-Stará Boleslav,nízké,velmi nízké,velmi nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,3637,0.03150172363019038,0.4206763816332142,2022-04-01,0
Čáslav,střední,vysoké,střední,Vzdělávací problémy na míře očekávání,52 - 56 tisíc Kč,569,0.02200139200371201,0.38137082601054484,2022-04-01,0
Černošice,nízké,velmi nízké,velmi nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,4533,0.029766556128312048,0.44187072578866093,2022-04-01,0
Český Brod,vysoké,vysoké,nízké,Vzdělávací problémy na míře očekávání,52 - 56 tisíc Kč,455,0.020821892732930624,0.4879120879120879,2022-04-01,0
Dobříš,vysoké,nízké,střední,Více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,408,0.017538580578601214,0.4215686274509804,2022-04-01,0
Hořovice,střední,nízké,velmi nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,904,0.029819237366407177,0.4170353982300885,2022-04-01,0
Kladno,vysoké,vysoké,střední,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,2404,0.019069527624638084,0.4363560732113145,2022-04-01,0
Kolín,vysoké,vysoké,střední,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,2150,0.025472726411070564,0.4325581395348837,2022-04-01,0
Kralupy nad Vltavou,střední,střední,velmi nízké,Vzdělávací problémy na míře očekávání,52 - 56 tisíc Kč,959,0.029127688008747418,0.40875912408759124,2022-04-01,0
Kutná Hora,vysoké,vysoké,střední,Více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,1443,0.028603710751665082,0.43104643104643103,2022-04-01,0
Lysá nad Labem,střední,vysoké,velmi nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,1568,0.057763860747835696,0.47512755102040816,2022-04-01,0
Mělník,vysoké,vysoké,střední,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,1096,0.024465377918657084,0.4498175182481752,2022-04-01,0
Mladá Boleslav,střední,vysoké,velmi nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,4108,0.03635237378877041,0.41820837390457644,2022-04-01,0
Mnichovo Hradiště,střední,nízké,velmi nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,552,0.030603758939956757,0.42391304347826086,2022-04-01,0
Neratovice,velmi vysoké,vysoké,střední,Výrazně více vzdělávacích problémů než očekáváno,52 - 56 tisíc Kč,590,0.018286068495273516,0.4271186440677966,2022-04-01,0
Nymburk,střední,střední,střední,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,846,0.02089146808247932,0.44089834515366433,2022-04-01,0
Poděbrady,velmi nízké,střední,střední,Výrazně méně vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,684,0.02166270783847981,0.4283625730994152,2022-04-01,0
Příbram,vysoké,vysoké,vysoké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,1792,0.025601828702050147,0.4146205357142857,2022-04-01,0
Rakovník,střední,vysoké,střední,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,904,0.016219028652421193,0.41814159292035397,2022-04-01,0
Říčany,nízké,velmi nízké,velmi nízké,Více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,2143,0.02916241409811526,0.41763882407839475,2022-04-01,0
Sedlčany,nízké,nízké,vysoké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,526,0.023933023933023934,0.46387832699619774,2022-04-01,0
Slaný,velmi vysoké,vysoké,vysoké,Více vzdělávacích problémů než očekáváno,52 - 56 tisíc Kč,1037,0.0254291319274154,0.47444551591128253,2022-04-01,0
Vlašim,velmi nízké,velmi nízké,velmi nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,424,0.01634100281342737,0.455188679245283,2022-04-01,0
Votice,nízké,nízké,nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,176,0.014125200642054575,0.4602272727272727,2022-04-01,0
